,Volume,vw,Open,Close,High,Low,t,n
0,3038.0,173.3186,173.43,173.2,173.43,173.2,1683619200000,88
1,2002.0,173.125,173.2,173.05,173.2,173.05,1683619500000,45
2,1287.0,173.0047,173.01,173.0,173.01,173.0,1683619800000,42
3,2936.0,172.9869,172.92,172.93,173.01,172.92,1683620100000,37
4,988.0,173.0139,173.0,173.03,173.03,173.0,1683620400000,26
5,1474.0,172.9935,173.0,173.0,173.0,172.99,1683620700000,29
6,1645.0,172.9251,172.94,172.92,172.94,172.91,1683621300000,27
7,3325.0,172.9281,172.94,172.89,172.96,172.89,1683621600000,37
8,3582.0,172.7374,172.81,172.64,172.81,172.64,1683621900000,72
9,2747.0,172.7302,172.64,172.82,172.89,172.64,1683622200000,63
10,384.0,172.8451,172.85,172.85,172.85,172.85,1683623100000,13
11,377.0,172.8481,172.85,172.85,172.85,172.85,1683623400000,11
12,1226.0,172.8319,172.83,172.83,172.84,172.83,1683623700000,18
13,949.0,172.8062,172.8,172.8,172.8,172.8,1683624000000,30
14,1587.0,172.7811,172.71,172.79,172.79,172.71,1683624600000,35
15,1759.0,172.7947,172.8,172.79,172.8,172.79,1683624900000,36
16,127.0,172.7521,172.75,172.75,172.75,172.75,1683625200000,3
17,973.0,172.7459,172.75,172.73,172.76,172.72,1683625800000,28
18,4636.0,172.7158,172.73,172.72,172.74,172.7,1683626100000,46
19,833.0,172.8679,172.8,172.9,172.9,172.8,1683626400000,27
20,402.0,172.7804,172.78,172.78,172.78,172.78,1683627000000,7
21,663.0,172.8439,172.88,172.8,172.88,172.8,1683627300000,22
22,467.0,172.8602,172.88,172.86,172.88,172.86,1683627600000,12
23,1441.0,172.7864,172.81,172.78,172.81,172.78,1683627900000,18
24,2062.0,172.7091,172.75,172.74,172.75,172.64,1683628200000,39
25,2293.0,172.7915,172.8,172.8,172.8,172.78,1683629700000,37
26,10654.0,172.8514,172.85,172.8,172.98,172.8,1683630000000,269
27,4057.0,172.7851,172.78,172.74,172.79,172.74,1683630300000,48
28,7120.0,172.7909,172.73,172.82,172.83,172.73,1683630600000,89
29,1834.0,172.857,172.85,172.86,172.86,172.85,1683630900000,41
30,2174.0,172.7846,172.84,172.75,172.84,172.75,1683631200000,54
31,11248.0,172.6866,172.72,172.67,172.72,172.6,1683631500000,197
32,3541.0,172.6214,172.71,172.61,172.71,172.6,1683631800000,80
33,16639.0,172.5334,172.61,172.5,172.61,172.5,1683632100000,252
34,8153.0,172.5939,172.5,172.6,172.68,172.5,1683632400000,152
35,1215.0,172.6135,172.6,172.6,172.6,172.6,1683632700000,24
36,2128.0,172.6996,172.68,172.7,172.72,172.68,1683633000000,63
37,923.0,172.7212,172.71,172.73,172.73,172.71,1683633300000,24
38,39549.0,172.7425,172.84,172.73,173.02,172.51,1683633600000,1390
39,4674.0,172.7045,172.68,172.74,172.78,172.65,1683633900000,132
40,9017.0,172.7989,172.76,172.85,172.85,172.73,1683634200000,210
