,Volume,vw,Open,Close,High,Low,t,n
0,1516.0,412.0205,412.01,412.05,412.05,412.0,1683619200000,40.0
1,2010.0,412.0081,412.11,412.0,412.11,412.0,1683619500000,12.0
2,1900.0,411.93,411.93,411.93,411.93,411.93,1683619800000,4.0
3,501.0,411.814,411.8,411.84,411.84,411.79,1683620100000,5.0
4,3003.0,411.7878,411.77,411.77,411.83,411.76,1683620400000,23.0
5,1743.0,411.5494,411.72,411.54,411.72,411.49,1683620700000,20.0
6,3623.0,411.3146,411.45,411.33,411.47,411.21,1683621000000,21.0
7,3606.0,411.3383,411.35,411.33,411.38,411.32,1683621300000,23.0
8,921.0,411.2393,411.25,411.23,411.25,411.23,1683621600000,7.0
9,1575.0,411.1911,411.18,411.3,411.3,411.15,1683621900000,14.0
10,3841.0,411.4303,411.28,411.5,411.5,411.28,1683622200000,21.0
11,5549.0,411.2729,411.45,411.34,411.45,411.23,1683622500000,19.0
12,4001.0,411.4548,411.44,411.47,411.47,411.44,1683623100000,12.0
13,1737.0,411.4201,411.47,411.4,411.47,411.35,1683623400000,19.0
14,731.0,411.3543,411.34,411.39,411.42,411.3,1683623700000,12.0
15,2966.0,411.296,411.33,411.2,411.33,411.2,1683624000000,26.0
16,850.0,411.2482,411.25,411.27,411.27,411.24,1683624300000,3.0
17,400.0,411.2825,411.32,411.27,411.32,411.27,1683624600000,2.0
18,1111.0,411.422,411.35,411.43,411.44,411.35,1683624900000,11.0
19,421.0,411.3664,411.38,411.35,411.38,411.35,1683625500000,7.0
20,66453.0,411.2963,411.31,411.25,411.34,411.14,1683625800000,166.0
21,60492.0,411.3908,411.33,411.48,411.48,411.33,1683626100000,119.0
22,851.0,411.4866,411.46,411.5,411.5,411.46,1683626400000,16.0
23,771.0,411.4366,411.48,411.41,411.48,411.41,1683626700000,9.0
24,684.0,411.3085,411.3,411.33,411.33,411.3,1683627300000,6.0
25,3436.0,411.3363,411.35,411.33,411.35,411.32,1683627600000,14.0
26,410.0,411.2912,411.29,411.29,411.29,411.29,1683627900000,2.0
27,2962.0,411.2845,411.2,411.38,411.38,411.15,1683628200000,20.0
28,5000.0,411.4246,411.42,411.42,411.43,411.42,1683628500000,25.0
29,236.0,411.3951,411.39,411.4,411.4,411.39,1683628800000,4.0
30,1642.0,411.4534,411.45,411.41,411.46,411.41,1683629100000,7.0
31,1336.0,411.3898,411.39,411.37,411.39,411.37,1683629400000,10.0
32,1693.0,411.359,411.37,411.34,411.38,411.34,1683629700000,8.0
33,20091.0,411.3591,411.39,411.28,411.41,411.28,1683630000000,121.0
34,41245.0,411.1937,411.25,411.25,411.28,411.14,1683630300000,162.0
35,2461.0,411.2604,411.23,411.34,411.35,411.211,1683630600000,20.0
36,2824.0,411.3017,411.33,411.28,411.33,411.26,1683630900000,34.0
37,4970.0,411.1841,411.26,411.18,411.26,411.11,1683631200000,55.0
38,18017.0,411.0983,411.2,411.14,411.2,411.06,1683631500000,86.0
39,9198.0,411.1044,411.2,411.03,411.2,411.03,1683631800000,65.0
40,14286.0,411.0273,411.02,411.0,411.1,411.0,1683632100000,142.0
41,8025.0,411.1104,411.1,411.09,411.16,411.09,1683632400000,59.0
42,27644.0,411.2104,411.07,411.26,411.35,411.06,1683632700000,122.0
43,5263.0,411.2674,411.27,411.29,411.3,411.2,1683633000000,46.0
44,8595.0,411.2757,411.31,411.26,411.31,411.24,1683633300000,72.0
45,36955.0,411.2962,411.2994,411.25,412.44,411.0,1683633600000,645.0
46,9438.0,411.2521,411.25,411.39,411.39,411.17,1683633900000,156.0
47,26376.0,411.4756,411.39,411.45,411.52,411.39,1683634200000,217.0
48,16156.0,411.4939,411.4999,411.49,411.52,411.45,1683634500000,153.0
49,11308.0,411.4385,411.51,411.41,411.51,411.39,1683634800000,126.0
50,4192.0,411.5,411.5,411.53,411.55,411.42,1683635100000,127.0
51,32291.0,411.4848,411.56,411.46,411.56,411.41,1683635400000,194.0
52,26446.0,411.407,411.47,411.41,411.53,411.33,1683635700000,187.0
53,52122.0,411.459,411.52,411.35,411.55,411.35,1683636000000,263.0
54,25522.0,411.2503,411.36,411.27,411.36,411.19,1683636300000,186.0
55,15863.0,411.2177,411.29,411.18,411.31,411.18,1683636600000,144.0
56,34545.0,411.1939,411.18,411.2,411.25,411.15,1683636900000,161.0
57,25036.0,411.211,411.2,411.24,411.33,411.15,1683637200000,161.0
58,10424.0,411.3006,411.26,411.3,411.36,411.24,1683637500000,119.0
59,19066.0,411.1861,411.25,411.14,411.26,411.14,1683637800000,143.0
60,8506.0,411.1766,411.15,411.26,411.26,411.15,1683638100000,128.0
61,21057.0,411.206,411.24,411.24,411.25,411.16,1683638400000,221.0
62,55129.0,411.1485,411.19,411.12,411.23,411.09,1683638700000,443.0
63,1641819.0,410.9146,411.13,410.96,411.18,410.6894,1683639000000,13476.0
64,735361.0,410.8964,410.965,410.815,411.05,410.7,1683639300000,7643.0
65,799245.0,411.1213,410.815,411.16,411.435,410.77,1683639600000,8542.0
66,684195.0,411.2279,411.161,411.19,411.41,411.1,1683639900000,7467.0
67,785043.0,411.1201,411.2,411.1117,411.23,411.025,1683640200000,7778.0
68,875313.0,411.3966,411.115,411.63,411.675,411.08,1683640500000,9137.0
69,894527.0,411.5623,411.635,411.42,411.84,411.21,1683640800000,9634.0
70,1016180.0,411.1998,411.425,411.0399,411.5893,410.995,1683641100000,9542.0
71,570176.0,411.0091,411.04,410.98,411.14,410.84,1683641400000,6987.0
72,603445.0,411.0861,410.98,411.17,411.3,410.87,1683641700000,6722.0
73,387291.0,411.143,411.17,411.13,411.23,411.025,1683642000000,4419.0
74,499079.0,411.303,411.135,411.28,411.47,411.12,1683642300000,5270.0
75,613887.0,411.2064,411.3,411.0764,411.41,410.94,1683642600000,5781.0
76,361897.0,411.1111,411.065,411.312,411.3576,410.9113,1683642900000,4035.0
77,580910.0,411.4575,411.32,411.5718,411.595,411.23,1683643200000,5723.0
78,471912.0,411.4798,411.58,411.35,411.655,411.248,1683643500000,4383.0
79,389643.0,411.393,411.33,411.46,411.515,411.23,1683643800000,3309.0
80,365586.0,411.4827,411.46,411.37,411.57,411.36,1683644100000,3377.0
81,314135.0,411.4921,411.365,411.505,411.58,411.3601,1683644400000,3138.0
82,559732.0,411.4795,411.51,411.56,411.64,411.37,1683644700000,4121.0
83,691047.0,411.2072,411.57,411.2995,411.59,410.97,1683645000000,5757.0
84,399398.0,411.5106,411.3,411.675,411.72,411.28,1683645300000,4132.0
85,314837.0,411.6004,411.675,411.51,411.7092,411.48,1683645600000,3286.0
86,310663.0,411.3558,411.51,411.2799,411.53,411.231,1683645900000,3311.0
87,415243.0,411.4011,411.28,411.6,411.6,411.24,1683646200000,4216.0
88,299015.0,411.5147,411.5901,411.4,411.69,411.31,1683646500000,3201.0
89,217430.0,411.3445,411.385,411.29,411.4501,411.2521,1683646800000,2409.0
90,218780.0,411.344,411.3,411.35,411.41,411.27,1683647100000,2289.0
91,305176.0,411.2693,411.35,411.2189,411.41,411.12,1683647400000,3436.0
92,393829.0,411.0808,411.21,411.03,411.22,410.975,1683647700000,4160.0
93,437069.0,410.9849,411.0,410.96,411.11,410.88,1683648000000,4307.0
94,277041.0,411.0789,410.96,411.0611,411.21,410.96,1683648300000,2964.0
95,298019.0,410.9879,411.06,410.955,411.08,410.87,1683648600000,2832.0
96,802381.0,410.9041,410.958,410.915,411.05,410.8301,1683648900000,3240.0
97,320951.0,410.9533,410.91,410.993,411.11,410.86,1683649200000,3437.0
98,285857.0,410.9537,410.99,410.87,411.061,410.81,1683649500000,2787.0
99,456977.0,411.0274,410.865,411.1321,411.2,410.8512,1683649800000,4068.0
100,257042.0,410.9961,411.14,410.88,411.17,410.8289,1683650100000,2720.0
101,219430.0,410.9129,410.895,411.009,411.03,410.83,1683650400000,2385.0
102,307968.0,411.0211,411.005,411.01,411.085,410.94,1683650700000,2766.0
103,242883.0,411.1226,411.02,411.14,411.2083,411.0086,1683651000000,2600.0
104,554006.0,411.9818,411.15,411.355,411.39,411.15,1683651300000,3066.0
105,354640.0,411.3727,411.3501,411.35,411.45,411.26,1683651600000,3687.0
106,273120.0,411.3511,411.35,411.33,411.45,411.28,1683651900000,2614.0
107,329865.0,411.2811,411.325,411.29,411.38,411.2,1683652200000,2925.0
108,202639.0,411.3511,411.29,411.425,411.43,411.255,1683652500000,2406.0
109,184965.0,411.3901,411.43,411.325,411.46,411.3,1683652800000,2293.0
110,289179.0,411.3524,411.325,411.38,411.455,411.2601,1683653100000,2249.0
111,294922.0,411.4718,411.38,411.52,411.56,411.375,1683653400000,3633.0
112,251963.0,411.3826,411.52,411.3499,411.56,411.24,1683653700000,2602.0
113,161384.0,411.3663,411.35,411.34,411.42,411.305,1683654000000,2036.0
114,230527.0,411.3789,411.33,411.47,411.495,411.24,1683654300000,2443.0
115,372370.0,411.5886,411.46,411.71,411.73,411.39,1683654600000,3618.0
116,851630.0,412.1102,411.72,411.84,411.92,411.68,1683654900000,5697.0
117,635369.0,411.9505,411.85,411.9,412.07,411.85,1683655200000,5692.0
118,444743.0,411.8177,411.91,411.86,411.94,411.6799,1683655500000,4266.0
119,259236.0,411.8257,411.86,411.82,411.91,411.755,1683655800000,3082.0
120,685079.0,411.9843,411.81,411.975,412.09,411.8,1683656100000,5699.0
121,614625.0,412.2907,411.975,411.7729,412.03,411.7632,1683656400000,3600.0
122,280326.0,411.7804,411.77,411.7899,411.86,411.6903,1683656700000,3196.0
123,306603.0,411.7838,411.79,411.72,411.91,411.68,1683657000000,3383.0
124,549547.0,412.2619,411.72,411.72,411.89,411.714,1683657300000,2963.0
125,469584.0,412.3347,411.725,411.83,411.86,411.7,1683657600000,2578.0
126,267919.0,411.8246,411.84,411.89,411.9,411.7301,1683657900000,2644.0
127,652676.0,411.431,411.885,411.18,411.9,411.11,1683658200000,5983.0
128,685249.0,411.4014,411.17,411.4699,411.57,411.17,1683658500000,6189.0
129,341743.0,411.5623,411.4699,411.6179,411.63,411.44,1683658800000,3563.0
130,451338.0,411.6998,411.61,411.69,411.8,411.5701,1683659100000,3471.0
131,429881.0,411.6362,411.6901,411.55,411.7199,411.515,1683659400000,3866.0
132,593303.0,411.4388,411.55,411.3719,411.55,411.35,1683659700000,5331.0
133,471081.0,411.3981,411.38,411.47,411.48,411.31,1683660000000,4269.0
134,520947.0,411.4964,411.48,411.49,411.565,411.405,1683660300000,4406.0
135,416203.0,411.5602,411.49,411.635,411.67,411.41,1683660600000,4373.0
136,600872.0,411.5948,411.64,411.457,411.69,411.42,1683660900000,4564.0
137,939735.0,411.2737,411.45,411.245,411.45,411.14,1683661200000,7552.0
138,851894.0,411.2851,411.24,411.31,411.41,411.11,1683661500000,7406.0
139,1977499.0,411.4844,411.31,411.1899,411.3675,411.13,1683661800000,11121.0
140,4271341.0,411.3057,411.19,410.96,411.26,410.81,1683662100000,24092.0
141,636177.0,411.0562,410.98,411.22,411.28,410.88,1683662400000,1706.0
142,2207593.0,410.942,411.22,411.34,411.36,411.21,1683662700000,514.0
143,519347.0,411.3155,411.34,411.21,411.39,410.93,1683663000000,733.0
144,392258.0,412.2392,411.21,411.18,411.25,411.17,1683663300000,415.0
145,63770.0,411.2651,411.18,411.25,411.31,411.18,1683663600000,214.0
146,111872.0,411.1647,411.22,411.19,411.25,410.93,1683663900000,382.0
147,67246.0,411.2365,411.19,411.25,411.27,411.19,1683664200000,156.0
148,63638.0,411.2742,411.22,411.29,411.32,411.22,1683664500000,165.0
149,16349.0,411.3125,411.27,411.31,411.35,411.27,1683664800000,100.0
150,4508.0,411.3203,411.33,411.3,411.33,411.3,1683665100000,52.0
151,22393.0,411.2561,411.32,411.21,411.32,411.21,1683665400000,103.0
152,49402.0,411.0657,411.2,411.06,411.2,411.01,1683665700000,225.0
153,11982.0,410.9467,411.02,410.96,411.06,410.92,1683666000000,83.0
154,8333.0,410.9587,410.95,410.95,411.0,410.95,1683666300000,62.0
155,169911.0,410.915,410.94,410.9,411.0,410.81,1683666600000,391.0
156,66811.0,410.9334,410.99,411.0,411.0,410.92,1683666900000,144.0
157,21054.0,410.9833,411.0,410.971,411.0,410.95,1683667200000,72.0
158,5383.0,410.9668,410.99,410.97,411.0,410.92,1683667500000,57.0
159,662.0,410.9718,410.94,411.0,411.0,410.94,1683667800000,11.0
160,5016.0,410.8733,411.0,410.8,411.0,410.8,1683668100000,59.0
161,2547.0,410.9807,410.99,410.99,410.99,410.99,1683668400000,20.0
162,3940.0,410.9337,410.91,411.0,411.0,410.9,1683668700000,44.0
163,6108.0,411.0159,411.0,411.0,411.08,411.0,1683669000000,38.0
164,617.0,411.032,411.02,411.07,411.07,411.02,1683669300000,20.0
165,16760.0,410.9048,410.95,410.93,410.95,410.85,1683669600000,115.0
166,3737.0,410.9784,410.98,410.98,411.02,410.95,1683669900000,43.0
167,5718.0,410.9934,410.99,411.0,411.05,410.95,1683670200000,41.0
168,3238.0,411.0596,411.01,411.09,411.09,411.01,1683670500000,22.0
169,10462.0,411.1371,411.09,411.14,411.16,411.09,1683670800000,63.0
170,4031.0,411.1409,411.13,411.14,411.19,411.13,1683671100000,22.0
171,4841.0,411.2127,411.19,411.21,411.23,411.19,1683671400000,62.0
172,3450.0,411.2343,411.23,411.23,411.24,411.23,1683671700000,35.0
173,7172.0,411.2151,411.18,411.2,411.23,411.12,1683672000000,40.0
174,3544.0,411.2361,411.24,411.2,411.24,411.2,1683672300000,20.0
175,3206.0,411.263,411.24,411.27,411.27,411.24,1683672600000,18.0
176,9872.0,411.2178,411.22,411.23,411.25,411.21,1683672900000,39.0
177,2362.0,411.234,411.2,411.25,411.26,411.2,1683673200000,20.0
178,1691.0,411.2336,411.26,411.22,411.26,411.21,1683673500000,24.0
179,1135.0,411.1906,411.2,411.19,411.2,411.16,1683673800000,22.0
180,766.0,411.1763,411.19,411.15,411.19,411.15,1683674100000,20.0
181,2270.0,411.203,411.17,411.21,411.22,411.17,1683674400000,22.0
182,160.0,411.1997,411.2,411.2,411.2,411.2,1683674700000,6.0
183,454.0,411.1492,411.15,411.14,411.15,411.14,1683675300000,8.0
